"lon","lat","date","track_name","type"
"98",-114.691587699687,26.3160663461566,2008-10-08,"crw_sim_2008CA-Bmu-10821","pseudos"
"99",-126.482244821232,33.0543727404642,2008-03-09,"crw_sim_2007CA-Bmu-04174","pseudos"
"100",-117.939452895639,21.162790136573,2008-11-02,"crw_sim_2008CA-Bmu-04176","pseudos"
"101",-121.976942855732,35.2814924077872,2007-11-15,"crw_sim_2007CA-Bmu-04174","pseudos"
"102",-122.256238275133,29.2530746511319,2017-07-23,"crw_sim_2017CA-Bmu-00826","pseudos"
"103",-123.216590689477,34.1190613473458,2005-12-21,"crw_sim_2005CA-Bmu-01390","pseudos"
"104",-118.691237599307,31.9442828315605,2014-09-16,"crw_sim_2014CA-Bmu-10834","pseudos"
"105",-122.383114645556,33.2835960676436,2004-08-11,"crw_sim_2004CA-Bmu-10843","pseudos"
"106",-123.522744683867,34.676293585899,2015-07-28,"crw_sim_2015CA-Bmu-05678","pseudos"
"107",-120.645193570235,33.7471939048217,2017-11-15,"crw_sim_2017CA-Bmu-00845","pseudos"
"108",-121.106047375234,34.8736884113111,2004-08-20,"crw_sim_2004CA-Bmu-10834","pseudos"
"109",-117.267152439177,26.1537194978265,2008-09-12,"crw_sim_1993CA-Bmu-00830","pseudos"
"110",-123.493351513073,35.9668980492116,2014-10-03,"crw_sim_2014CA-Bmu-10836","pseudos"
"111",-118.402770193948,31.020466759343,1999-08-16,"crw_sim_1999CA-Bmu-00834","pseudos"
"112",-126.328506491546,43.0459958916497,2006-10-12,"crw_sim_2006CA-Bmu-23036","pseudos"
"113",-118.755210075695,30.7342490250673,2008-08-20,"crw_sim_2008CA-Bmu-05644","pseudos"
"114",-132.641110963676,22.6496185561858,2014-10-14,"crw_sim_2014CA-Bmu-10836","pseudos"
"115",-116.742711633621,31.6432613111982,2015-07-19,"crw_sim_2015CA-Bmu-00825","pseudos"
"116",-124.985447312462,40.2334651276586,2016-09-27,"crw_sim_2016CA-Bmu-10825","pseudos"
"117",-119.877073016081,23.2524850824721,2005-11-16,"crw_sim_2005CA-Bmu-01390","pseudos"
"118",-118.975134162235,27.4529928034925,2000-01-21,"crw_sim_1999CA-Bmu-04176","pseudos"
"119",-123.627534351355,35.324177037279,2016-09-15,"crw_sim_2016CA-Bmu-05843","pseudos"
"120",-120.560879236404,34.04356650446,2017-07-27,"crw_sim_2017CA-Bmu-00825","pseudos"
"121",-122.53826082174,33.4894441034391,2006-10-23,"crw_sim_2006CA-Bmu-02083","pseudos"
"122",-121.496556848012,31.9594890832772,2014-09-21,"crw_sim_2014CA-Bmu-05641","pseudos"
"123",-121.009793507445,33.6001537637015,1999-08-09,"crw_sim_1999CA-Bmu-23043","pseudos"
"124",-120.608819885701,34.05558540067,2017-07-17,"crw_sim_2017CA-Bmu-01385","pseudos"
"125",-116.291603435458,30.9034539635988,2008-08-24,"crw_sim_2008CA-Bmu-05644","pseudos"
"126",-127.76510636374,42.4244955743093,2000-10-14,"crw_sim_2000CA-Bmu-23029","pseudos"
"127",-120.86686972291,31.8761262803769,2015-08-16,"crw_sim_2015CA-Bmu-05678","pseudos"
"128",-122.434252559765,30.6823440528434,1995-11-21,"crw_sim_1995CA-Bmu-00841","pseudos"
"129",-130.928845085542,35.1291494328349,2008-04-18,"crw_sim_2007CA-Bmu-04174","pseudos"
"130",-113.407167487815,29.7354891660848,2000-01-19,"crw_sim_1999CA-Bmu-23030","pseudos"
"131",-126.11521585916,34.5476164736534,2007-10-28,"crw_sim_2007CA-Bmu-04174","pseudos"
